Campaign	Labels	Budget	Budget type	Standard conversion goals	Campaign Type	Networks	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Maximum CPC bid limit	Start Date	End Date	Ad Schedule	Ad rotation	Targeting method	Exclusion method	Flexible Reach	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Percent CPC	Target CPM	Target ROAS	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Top Content Bid Modifier	Display Network Custom Bid Type	Targeting expansion	Ad Group Type	Audience targeting	Audience name	Tracking template	Final URL suffix	Custom parameters	ID	Location	Reach	Feed	Radius	Unit	Bid Modifier	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Device Preference	Phone Number	Country of Phone	Call Reporting	Conversion Action	Feed Name	Platform Targeting	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Link Text	Description Line 1	Description Line 2	Upgraded extension	Header	Snippet Values	Callout text	Conversion category	Conversion source	Primary actions	Secondary actions	Account goal	Campaign Status	Ad Group Status	Status	Approval Status	Comment
												[]	[]	[]																																												Mobile	2244772663	US	Enabled	Calls from ads	Main call feed																																																											
												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete-company/nearby																																																		Serving Schaumburg	Schaumburg's #1 Concrete Company	Also serving Streamwood and Barlett	[]													
												[]	[]	[]																																										https://www.concreteschaumburg.com/concrete/restoration																																																		Call For Instant Quote	Get An Instant Price Today	All Work Guaranteed	[]													
												[]	[]	[]																																										https://www.concreteschaumburg.com/best-concrete/company																																																		5 Star Customer Reviews	Fabulous Five Star Reviews	Excellent Customer Service	[]													
												[]	[]	[]																																										https://www.concreteschaumburg.com/experienced/concrete-company																																																		10 Years Experience	Many Years Of Happy Customers	Fully Trained Concrete Techs	[]													
																																																																																																													[]	Neighborhoods	"Roselle
Barlett
Schnells Corner
Streamwood
South Barrington
Medinah
Arlington Heights
Rolling Meadows"											
																																																																																																													[]	Service catalog	"Stamped Concrete
Concrete Resurfacing
Concrete Slab Removal
Concrete Installation
Concrete Sealing
Concrete Staining
Decorative Concrete
Precast Concrete
Concrete Coating
Concrete Edging"											
																																																																																																													[]			Call Today										
																																																																																																													[]			Fully Insured And Bonded										
																																																																																																													[]			Highly Recommended										
																																																																																																													[]			Professional Results										
																																																																																																																	Phone call lead	Website	1	0	Enabled					
																																																																																																																	Phone call lead	Call from Ads	1	0	Enabled					
																																																																																																																	Submit lead form	Website	1	0	Enabled					
